Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8730,106259284,204,5816
justinbieber,Justin Bieber,30647,103267651,315551,3449
BarackObama,Barack Obama,15479,96779882,626675,10
Taylorswift13,Taylor Swift,60,85607908,0,102
rihanna,Rihanna,10033,82136448,1131,1023
youtube,YouTube,21111,70407492,1029,1674
theellenshow,Ellen DeGeneres,15294,75349795,35988,574
ladygaga,Lady Gaga,8585,73487177,128612,1684
twitter,Twitter,6262,62111760,170,5207
jtimberlake,Justin Timberlake,3690,63499721,254,48
britneyspears,Britney Spears,5322,55983414,389456,2461
cristiano,Cristiano Ronaldo,3041,63617688,96,0
kimkardashian,Kim Kardashian West,24870,56968871,127,1
selenagomez,Selena Gomez,4331,54457728,1263,167
cnnbrk,CNN Breaking News,58781,53421763,120,18
jimmyfallon,jimmy fallon,10217,49678085,7754,49
arianagrande,Ariana Grande,40415,55182499,65199,32626
shakira,Shakira,5232,49150717,209,1232
ddlovato,Demi Lovato,16459,51532563,548,1890
jlo,Jennifer Lopez,12302,44028626,1734,6586
instagram,Instagram,11268,39448356,4,152
oprah,Oprah Winfrey,12326,39836901,288,149
drake,Drizzy,1712,36422224,635,11
kingjames,LeBron James,5551,39507479,176,82
nytimes,The New York Times,298843,40134309,886,15784
billgates,Bill Gates,2509,40896189,184,27
cnn,CNN,157172,38393313,1115,1478
kevinhart4real,Kevin Hart,34737,34981088,555,83
mileycyrus,Miley Ray Cyrus,8998,37631386,376,200
onedirection,One Direction,9908,31790731,3920,303
sportscenter,SportsCenter,99871,35095027,1661,1158
espn,ESPN,92452,33754857,285,95
bbcbreaking,BBC Breaking News,33412,35806678,3,0
harry_styles,Harry Styles.,5395,31331306,2046,76
pink,P!nk,6734,31104347,447,405
liltunechi,Lil Wayne WEEZY F,1738,32053617,48,13
wizkhalifa,Wiz Khalifa,43664,32498322,835,51
niallofficial,Niall Horan,12294,36092047,5973,360
brunomars,Bruno Mars,4062,37233810,109,177
adele,Adele,298,28823945,157,0
narendramodi,Narendra Modi,17221,36640381,1852,0
neymarjr,Neymar Jr,41082,34913409,747,808
kanyewest,,,,,
kaka,Kaka,4787,28797063,354,75
actuallynph,Neil Patrick Harris,2778,27606791,113,176
realdonaldtrump,Donald J. Trump,36366,42560439,45,23
danieltosh,daniel tosh,13618,27518222,131,2
srbachchan,Amitabh Bachchan,59746,31034796,1156,60
aliciakeys,Alicia Keys,7284,29372779,689,219
nba,NBA,177398,26829675,1671,246
