Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8733,106286042,204,5817
justinbieber,Justin Bieber,30647,103289852,315545,3449
BarackObama,Barack Obama,15479,96792430,626660,10
Taylorswift13,Taylor Swift,60,85614711,0,102
rihanna,Rihanna,10033,82187942,1132,1023
youtube,YouTube,21119,70411874,1029,1674
theellenshow,Ellen DeGeneres,15304,75369513,35987,576
ladygaga,Lady Gaga,8587,73527429,128607,1685
twitter,Twitter,6269,62112318,170,5211
jtimberlake,Justin Timberlake,3690,63525011,254,48
britneyspears,Britney Spears,5322,55989581,389444,2461
cristiano,Cristiano Ronaldo,3041,63679732,96,0
kimkardashian,Kim Kardashian West,24883,56985923,127,1
selenagomez,Selena Gomez,4331,54498027,1263,167
cnnbrk,CNN Breaking News,58795,53429155,120,18
jimmyfallon,jimmy fallon,10217,49684507,7753,49
arianagrande,Ariana Grande,40401,55211182,65191,32625
shakira,Shakira,5232,49166247,209,1232
ddlovato,Demi Lovato,16467,51568036,548,1892
jlo,Jennifer Lopez,12306,44033140,1734,6586
instagram,Instagram,11271,39446225,4,152
oprah,Oprah Winfrey,12327,39847707,288,149
drake,Drizzy,1712,36425143,635,11
kingjames,LeBron James,5553,39519637,176,83
nytimes,The New York Times,298946,40143386,886,15798
billgates,Bill Gates,2510,40914888,184,27
cnn,CNN,157291,38402527,1115,1478
kevinhart4real,Kevin Hart,34751,34982394,555,83
mileycyrus,Miley Ray Cyrus,9001,37648047,376,202
onedirection,One Direction,9908,31790075,3920,303
sportscenter,SportsCenter,99884,35100715,1661,1158
espn,ESPN,92461,33758204,285,95
bbcbreaking,BBC Breaking News,33419,35815062,3,0
harry_styles,Harry Styles.,5395,31333478,2046,76
pink,P!nk,6736,31112251,447,405
liltunechi,Lil Wayne WEEZY F,1739,32068576,48,13
wizkhalifa,Wiz Khalifa,43664,32502776,835,51
niallofficial,Niall Horan,12298,36121582,5974,362
brunomars,Bruno Mars,4063,37273481,109,177
adele,Adele,298,28825926,157,0
narendramodi,Narendra Modi,17237,36670773,1854,0
neymarjr,Neymar Jr,41082,34943505,747,808
kanyewest,,,,,
kaka,Kaka,4787,28810024,354,75
actuallynph,Neil Patrick Harris,2778,27607971,117,176
realdonaldtrump,Donald J. Trump,36370,42617771,45,23
danieltosh,daniel tosh,13618,27517919,131,2
srbachchan,Amitabh Bachchan,59818,31056380,7,60
aliciakeys,Alicia Keys,7284,29389055,689,219
nba,NBA,177486,26836530,1671,246
