Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8733,106286032,204,5817
justinbieber,Justin Bieber,30647,103289845,315545,3449
BarackObama,Barack Obama,15479,96792420,626660,10
Taylorswift13,Taylor Swift,60,85614707,0,102
rihanna,Rihanna,10033,82187918,1132,1023
youtube,YouTube,21119,70411871,1029,1674
theellenshow,Ellen DeGeneres,15304,75369501,35987,576
ladygaga,Lady Gaga,8587,73527409,128607,1685
twitter,Twitter,6269,62112315,170,5211
jtimberlake,Justin Timberlake,3690,63525000,254,48
britneyspears,Britney Spears,5322,55989575,389444,2461
cristiano,Cristiano Ronaldo,3041,63679714,96,0
kimkardashian,Kim Kardashian West,24883,56985913,127,1
selenagomez,Selena Gomez,4331,54498006,1263,167
cnnbrk,CNN Breaking News,58795,53429154,120,18
jimmyfallon,jimmy fallon,10217,49684504,7753,49
arianagrande,Ariana Grande,40401,55211163,65191,32625
shakira,Shakira,5232,49166238,209,1232
ddlovato,Demi Lovato,16467,51568010,548,1892
jlo,Jennifer Lopez,12306,44033140,1734,6586
instagram,Instagram,11271,39446226,4,152
oprah,Oprah Winfrey,12327,39847704,288,149
drake,Drizzy,1712,36425143,635,11
kingjames,LeBron James,5553,39519633,176,83
nytimes,The New York Times,298946,40143385,886,15798
billgates,Bill Gates,2510,40914878,184,27
cnn,CNN,157291,38402524,1115,1478
kevinhart4real,Kevin Hart,34751,34982394,555,83
mileycyrus,Miley Ray Cyrus,9001,37648038,376,202
onedirection,One Direction,9908,31790075,3920,303
sportscenter,SportsCenter,99884,35100714,1661,1158
espn,ESPN,92461,33758203,285,95
bbcbreaking,BBC Breaking News,33419,35815058,3,0
harry_styles,Harry Styles.,5395,31333476,2046,76
pink,P!nk,6736,31111616,447,405
liltunechi,Lil Wayne WEEZY F,1739,32068569,48,13
wizkhalifa,Wiz Khalifa,43664,32502775,835,51
niallofficial,Niall Horan,12298,36121567,5974,362
brunomars,Bruno Mars,4063,37273461,109,177
adele,Adele,298,28825924,157,0
narendramodi,Narendra Modi,17237,36670763,1854,0
neymarjr,Neymar Jr,41082,34943498,747,808
kanyewest,,,,,
kaka,Kaka,4787,28810020,354,75
actuallynph,Neil Patrick Harris,2778,27607971,117,176
realdonaldtrump,Donald J. Trump,36370,42617738,45,23
danieltosh,daniel tosh,13618,27517920,131,2
srbachchan,Amitabh Bachchan,59818,31056375,7,60
aliciakeys,Alicia Keys,7284,29389043,689,219
nba,NBA,177486,26836524,1671,246
